Ngày,NỘI DUNG/CHƯƠNG TRÌNH,Tình trạng,Tình trạng thực hiện,Lý do hoãn/hủy/ghi chú,ĐƠN VỊ
2,An toàn phòng mổ,Thực hiện,Thực hiện,,Trung tâm Gây mê hồi sức
4,Kỹ thuật nhuộm PAS và PAS-D,Thực hiện,Thực hiện,,Khoa Giải phẫu bệnh - Tế bào học
4,Cập nhật chẩn đoán và điều trị bệnh gan nhiễm mỡ,Thực hiện,Thực hiện,,Khoa khám bệnh/Dinh dưỡng/Mắt
4,Nhận định kết quả nuôi cấy dịch vô trùng,Thực hiện,Thực hiện,,Khoa Vi sinh
4,"Khai mạc lớp Văn hóa an toàn và chăm sóc NB toàn diện
Tổng quan về hoạt động điều dưỡng theo quy định thông tư 31/2021/TT-BYT",Thực hiện,Thực hiện,Làm post test vào cuối khóa học,Phòng Điều dưỡng
5,"Cập nhật các xét nghiệm di truyền trong các trường hợp sảy thai, thai lưu liên tiếp",Thực hiện,Thực hiện,,Trung tâm Di truyền
5,"Bình bệnh án trẻ sơ sinh non tháng 26w ""Vũ Ngọc Đoàn""",Thực hiện,Thực hiện,Không làm post test,Khoa Sơ sinh
5,Chẩn đoán hình ảnh thoái hóa khớp háng,Thực hiện,Thực hiện,,TT Chẩn đoán hình ảnh và Thăm dò chức năng
5,"SIÊU ÂM (1/5): Siêu âm hướng dẫn cai thở máy ở bệnh nhân hồi sức - Siêu âm hướng dẫn bù dịch ở bệnh nhân hồi sức
Siêu âm hướng dẫn cai thở máy ở bệnh nhân hồi sức
Siêu âm hướng dẫn bù dịch ở bệnh nhân hồi sức",Không thực hiện,Không thực hiện,,Trung tâm Hồi sức cấp cứu
6,Một số kiến thức về vị thuốc nam thường dùng,Thực hiện,Thực hiện,,PKĐK ĐH Phenikaa Hoàng Ngân 
6,"Bệnh uốn ván, uốn ván sơ sinh và vắc xin phòng bệnh",Thực hiện,Thực hiện,,Trung tâm Tiêm chủng
7,Vai trò xét nghiệm Apolipoprotein trong đánh giá nguy cơ tim mạch,Thực hiện,Thực hiện,,Khoa Hoá sinh- Huyết học
7,Biến chứng liên quan đến truyền tĩnh mạch ngoại vi và cách phòng ngừa.,Thực hiện,Thực hiện,,Khoa Sản/Khoa Phụ/TT Y học bào thai
7,Quy trình chăm sóc người bệnh đột quỵ,Thực hiện,Thực hiện,,Trung tâm Phục hồi chức năng
7,Hướng dẫn tập vận động sau phẫu thuật ung thư vú,Thực hiện,Thực hiện,,Trung tâm Ung bướu
7,Cập nhật chẩn đoán và điều trị bệnh phổi tắc nghẽn mãn tính theo YHCT kết hợp YHHĐ,Thực hiện,Thực hiện,,Trung tâm Y học cổ truyền
7,Tổ chức cấp cứu ngừng tuần hoàn trong buổi lọc máu,Thực hiện,Thực hiện,,Khoa Thận Nhân tạo
7,"Vai trò của chỉ số ABI, CAVI trong bệnh động mạch chi dưới",Thực hiện,Thực hiện,,Trung tâm Tim mạch
7,Hành trình lưu giữ tế bào gốc,Thực hiện,Thực hiện,,Trung tâm Tế bào gốc và Ngân hàng mô
